Date,Time,Open,High,Low,Close,Volume
2023-5-5,0:0,77086.0,77086.0,75424.0,76377.0,1578171.0
2023-5-4,0:0,78239.0,78280.0,76406.0,77136.0,1437724.0
2023-5-3,0:0,78586.0,78848.0,77641.0,78220.0,958268.0
2023-5-2,0:0,79338.0,79630.0,78206.0,78586.0,1168695.0
2023-4-28,0:0,80317.0,80676.0,78250.0,79310.0,1791264.0
2023-4-27,0:0,80988.0,81175.0,80065.0,80317.0,804009.0
2023-4-26,0:0,80400.0,81051.0,80243.0,80946.0,684142.0
2023-4-25,0:0,80148.0,80970.0,80142.0,80403.0,1022639.0
2023-4-24,0:0,80681.0,80743.0,79937.0,80140.0,812121.0
2023-4-21,0:0,80712.0,80990.0,80339.0,80707.0,591377.0
2023-4-20,0:0,81270.0,81305.0,80460.0,80714.0,868579.0
2023-4-19,0:0,80713.0,81370.0,80300.0,81270.0,1062044.0
2023-4-18,0:0,80373.0,80899.0,80180.0,80701.0,685353.0
2023-4-17,0:0,81288.0,81847.0,80272.0,80373.0,1228931.0
2023-4-14,0:0,81415.0,81470.0,80831.0,81239.0,826961.0
2023-4-13,0:0,81595.0,81825.0,80831.0,81446.0,948160.0
2023-4-12,0:0,82153.0,82337.0,81331.0,81553.0,722188.0
2023-4-11,0:0,81395.0,82450.0,81210.0,82150.0,944263.0
2023-4-10,0:0,81025.0,81745.0,80613.0,81395.0,1700100.0
2023-4-7,0:0,81727.0,83172.0,80520.0,81017.0,2427761.0
2023-4-6,0:0,80150.0,81790.0,80112.0,81720.0,1128114.0
2023-4-5,0:0,79658.0,80171.0,79407.0,80150.0,770103.0
2023-4-4,0:0,78860.0,79777.0,78860.0,79688.0,970056.0
2023-4-3,0:0,77808.0,78989.0,77448.0,78850.0,834545.0
2023-3-31,0:0,77370.0,78235.0,77293.0,77806.0,883275.0
2023-3-30,0:0,77326.0,77567.0,76853.0,77375.0,1080348.0
2023-3-29,0:0,77096.0,77417.0,76963.0,77327.0,566265.0
2023-3-28,0:0,76600.0,77286.0,76370.0,77099.0,723013.0
2023-3-27,0:0,76923.0,76998.0,76457.0,76604.0,785538.0
2023-3-24,0:0,76120.0,77147.0,75900.0,76961.0,1278056.0
2023-3-23,0:0,77317.0,77317.0,75757.0,76110.0,1250036.0
2023-3-22,0:0,76705.0,77503.0,76600.0,77319.0,855766.0
2023-3-21,0:0,77097.0,77438.0,76624.0,76691.0,794417.0
2023-3-20,0:0,76763.0,77633.0,76520.0,77090.0,1221472.0
2023-3-17,0:0,76330.0,76963.0,75965.0,76787.0,1622152.0
2023-3-16,0:0,75749.0,76629.0,75177.0,76340.0,1816382.0
2023-3-15,0:0,75156.0,75844.0,75030.0,75700.0,568509.0
2023-3-14,0:0,74815.0,75219.0,74758.0,75166.0,228498.0
2023-3-13,0:0,75739.0,75739.0,74673.0,74790.0,373317.0
2023-3-10,0:0,75597.0,75770.0,75507.0,75749.0,92561.0
2023-3-9,0:0,75715.0,75800.0,75283.0,75582.0,104860.0
2023-3-7,0:0,75169.0,75832.0,74850.0,75696.0,108030.0
2023-3-6,0:0,75290.0,75550.0,74755.0,75136.0,116517.0
2023-3-3,0:0,75282.0,75470.0,74808.0,75250.0,91605.0
2023-3-2,0:0,74950.0,75556.0,74944.0,75282.0,92429.0
2023-3-1,0:0,74455.0,75002.0,74333.0,74889.0,183281.0
2023-2-28,0:0,73856.0,74574.0,73510.0,74430.0,138640.0
2023-2-27,0:0,75802.0,75802.0,73750.0,73903.0,96099.0
2023-2-24,0:0,75050.0,76133.0,74380.0,75917.0,30243.0
2023-2-22,0:0,74655.0,75145.0,74142.0,74975.0,28146.0
2023-2-21,0:0,74668.0,74900.0,73840.0,74654.0,28536.0
2023-2-20,0:0,73687.0,74744.0,73125.0,74660.0,97141.0
2023-2-17,0:0,74880.0,75242.0,73600.0,73649.0,67058.0
2023-2-16,0:0,74220.0,75264.0,74150.0,74880.0,41758.0
2023-2-15,0:0,73670.0,74386.0,73586.0,74201.0,32379.0
2023-2-14,0:0,73949.0,74230.0,72850.0,73616.0,20273.0
2023-2-13,0:0,73700.0,74200.0,73550.0,73934.0,15666.0
2023-2-10,0:0,73759.0,74070.0,73121.0,73580.0,14340.0
2023-2-9,0:0,73603.0,74270.0,73520.0,73785.0,17848.0
2023-2-8,0:0,72390.0,73578.0,72264.0,73578.0,14604.0
2023-2-7,0:0,72460.0,72659.0,72106.0,72260.0,7892.0
2023-2-6,0:0,72107.0,72572.0,71737.0,72547.0,8103.0
2023-2-3,0:0,71658.0,72286.0,71619.0,72072.0,6482.0
2023-2-2,0:0,71333.0,72001.0,71118.0,71648.0,8826.0
2023-2-1,0:0,71471.0,71854.0,71202.0,71338.0,10893.0
2023-1-31,0:0,71995.0,72232.0,71302.0,71338.0,13795.0
2023-1-30,0:0,70755.0,71978.0,70595.0,71974.0,10370.0
2023-1-27,0:0,70489.0,70815.0,70350.0,70715.0,9929.0
2023-1-26,0:0,70624.0,71030.0,70073.0,70360.0,22218.0
2023-1-25,0:0,70324.0,70690.0,70116.0,70569.0,16736.0
2023-1-24,0:0,70350.0,70412.0,70117.0,70263.0,10513.0
2023-1-23,0:0,70135.0,70636.0,69700.0,70517.0,10806.0
2023-1-20,0:0,70050.0,70266.0,69797.0,70160.0,10215.0
2023-1-19,0:0,70005.0,70331.0,69890.0,70051.0,11737.0
2023-1-18,0:0,70443.0,70550.0,69730.0,69969.0,12687.0
2023-1-17,0:0,69653.0,70722.0,69536.0,70407.0,9299.0
2023-1-16,0:0,70178.0,70229.0,69188.0,69630.0,10746.0
2023-1-13,0:0,69000.0,70260.0,68490.0,70140.0,20548.0
2023-1-12,0:0,69658.0,69658.0,68707.0,68901.0,20458.0
2023-1-11,0:0,70853.0,71100.0,69495.0,69713.0,21089.0
2023-1-10,0:0,70899.0,71200.0,70230.0,70822.0,15787.0
2023-1-9,0:0,72591.0,72591.0,70526.0,70900.0,21455.0
2023-1-6,0:0,73101.0,73250.0,72194.0,72722.0,6851.0
2023-1-5,0:0,73046.0,73345.0,72355.0,73135.0,6217.0
2023-1-4,0:0,72577.0,73194.0,71973.0,73160.0,7482.0
2023-1-3,0:0,71123.0,72800.0,70605.0,72748.0,6572.0
2022-12-30,0:0,71787.0,72150.0,70184.0,70863.0,14503.0
2022-12-29,0:0,72600.0,73105.0,70951.0,71787.0,15320.0
2022-12-28,0:0,70502.0,72840.0,70450.0,72654.0,12518.0
2022-12-27,0:0,69097.0,71017.0,68697.0,70433.0,44633.0
2022-12-26,0:0,70156.0,70290.0,68365.0,69224.0,10591.0
2022-12-23,0:0,69012.0,70358.0,67760.0,70241.0,13143.0
2022-12-22,0:0,71864.0,72671.0,68950.0,69001.0,18939.0
2022-12-21,0:0,69350.0,71800.0,69350.0,71791.0,19691.0
2022-12-20,0:0,68250.0,69500.0,67753.0,69270.0,10174.0
2022-12-19,0:0,66789.0,68623.0,66701.0,68348.0,68803.0
2022-12-16,0:0,65785.0,66771.0,65550.0,66735.0,11049.0
2022-12-15,0:0,65714.0,66355.0,65265.0,65744.0,4759.0
2022-12-14,0:0,64600.0,65817.0,64600.0,65633.0,1633.0
2022-12-13,0:0,64532.0,64832.0,64466.0,64550.0,691.0
2022-12-12,0:0,64250.0,64687.0,64169.0,64488.0,705.0
2022-12-9,0:0,64536.0,64542.0,63900.0,64003.0,668.0
2022-12-8,0:0,64865.0,64874.0,64001.0,64573.0,373.0
2022-12-7,0:0,65159.0,65159.0,64621.0,64834.0,418.0
2022-12-6,0:0,64300.0,65242.0,64300.0,65242.0,670.0
2022-12-5,0:0,63846.0,64282.0,63669.0,64212.0,646.0
2022-12-2,0:0,63250.0,64000.0,63250.0,63950.0,575.0
2022-12-1,0:0,62907.0,63250.0,62671.0,63188.0,252.0
2022-11-30,0:0,62925.0,63050.0,62788.0,62869.0,245.0
2022-11-29,0:0,63075.0,63360.0,62774.0,63012.0,249.0
2022-11-28,0:0,62681.0,63392.0,62590.0,63150.0,338.0
2022-11-25,0:0,62684.0,62802.0,62100.0,62562.0,392.0
2022-11-24,0:0,62692.0,62907.0,62350.0,62750.0,648.0
2022-11-23,0:0,62412.0,62850.0,62296.0,62727.0,213.0
2022-11-22,0:0,62962.0,63033.0,57268.0,62425.0,1818.0
2022-11-21,0:0,62907.0,63215.0,62126.0,62966.0,424.0
